id,value
0,AHV Inspection Unit
1,APPLIANCE
2,ASBESTOS
3,Abandoned Bike
4,Abandoned Vehicle
5,Adopt-A-Basket
6,Air Quality
7,Animal Facility - No Permit
8,Animal in a Park
9,Animal-Abuse
10,Appliance
11,Asbestos
12,BEST/Site Safety
13,Beach/Pool/Sauna Complaint
14,Bench
15,Bike Rack
16,Bike Rack Condition
17,Bike/Roller/Skate
18,Bike/Roller/Skate Chronic
19,Blocked Driveway
20,Boiler
21,Boilers
22,Borough Office
23,Bottled Water
24,Bridge Condition
25,Broken Parking Meter
26,Building Condition
27,Building Drinking Water Tank
28,Building Marshal's Office
29,Building Marshals office
30,Building/Use
31,Bus Stop Shelter Complaint
32,Bus Stop Shelter Placement
33,COVID-19 Non-essential Construction
34,Calorie Labeling
35,Cannabis Retailer
36,Change Collection Schedule
37,Collection Truck Noise
38,Commercial Disposal Complaint
39,Construction Lead Dust
40,Construction Safety Enforcement
41,Consumer Complaint
42,Cooling Tower
43,Cranes and Derricks
44,Curb Condition
45,DEP Bridge Condition
46,DEP Highway Condition
47,DEP Sidewalk Condition
48,DEP Street Condition
49,DOB Posted Notice or Order
50,DOOR/WINDOW
51,DSNY Internal
52,DSNY Spillage
53,Damaged Tree
54,Day Care
55,Dead Animal
56,Dead/Dying Tree
57,Dept of Investigations
58,Derelict Bicycle
59,Derelict Vehicles
60,Dirty Condition
61,Dirty Conditions
62,Disorderly Youth
63,Dispatched Taxi Complaint
64,Dispatched Taxi Compliment
65,Door/Window
66,Drinking
67,Drinking Water
68,Drug Activity
69,Dumpster Complaint
70,E-Scooter
71,ELECTRIC
72,ELEVATOR
73,Electric
74,Electrical
75,Electronics Waste
76,Electronics Waste Appointment
77,Elevator
78,Emergency Response Team (ERT)
79,Employee Behavior
80,Encampment
81,Executive Inspections
82,FHV Licensee Complaint
83,FLOORING/STAIRS
84,Facade Insp Safety Pgm
85,Facades
86,Face Covering Violation
87,Ferry Complaint
88,Ferry Inquiry
89,Ferry Permit
90,Flooring/Stairs
91,Foam Ban Enforcement
92,Food Establishment
93,Food Poisoning
94,For Hire Vehicle Complaint
95,For Hire Vehicle Report
96,Forensic Engineering
97,Found Property
98,GENERAL
99,General
100,General Construction/Plumbing
101,Graffiti
102,Green Taxi Complaint
103,Green Taxi Report
104,HEAT/HOT WATER
105,Harboring Bees/Wasps
106,Hazardous Materials
107,Heat/Hot Water
108,Highway Condition
109,Highway Sign - Damaged
110,Highway Sign - Dangling
111,Highway Sign - Missing
112,Home Delivered Meal - Missed Delivery
113,Home Delivered Meal Complaint
114,Homeless Encampment
115,Homeless Person Assistance
116,Homeless Street Condition
117,Illegal Animal Kept as Pet
118,Illegal Animal Sold
119,Illegal Dumping
120,Illegal Fireworks
121,Illegal Parking
122,Illegal Posting
123,Illegal Tree Damage
124,Incorrect Data
125,Indoor Air Quality
126,Indoor Sewage
127,Industrial Waste
128,Institution Disposal Complaint
129,Internal Code
130,Investigations and Discipline (IAD)
131,Lead
132,Leaning Bar
133,Lifeguard
134,LinkNYC
135,Litter Basket / Request
136,Litter Basket Complaint
137,Litter Basket Request
138,Lost Property
139,Lot Condition
140,MOLD
141,Maintenance or Facility
142,Mass Gathering Complaint
